nome,autor
"É assim que acaba","Colleen Hoover"
"É assim que começa","Colleen Hoover"
"A Hipótese do Amor","Ali Hazelwood"
"Uma Breve História do Tempo","Stephen Hawking"
"O Universo Numa Casca de Noz","Stephen Hawking"
"O Universo Elegante","Brian Greene"
"Breves Respostas para Grandes Questões","Stephen Hawking"
"O Homem de Giz","C. J. Tudor"
"Manual de Assassinato para Boas Garotas","Holly Jackson"
"Anatomia do Mal","Harold Schechter"
"Os Sertões","Euclides da Cunha"
"O Gato Malhado e a Andorinha Sinhá","Jorge Amado"
"O Jardim das Borboletas","Dot Hutchison"
"Capitães da Areia","Jorge Amado"
"O Príncipe Cruel","Holly Black"
"O Senhor dos Anéis- A Sociedade do Anel","J.R.R. Tolkien"
Drácula,"Bram Stoker"
"O Pequeno Príncipe","Antoine de Saint-Exupéry"
"O Menino do Pijama Listrado","John Boyne"
"Memórias Póstumas de Brás Cubas","Machado de Assis"
"Ai Meus Deuses","Tera Lynn Childs"
"50 Ideias de Física Quântica que Você Precisa Conhecer","Joanne Baker"
"50 Tons de Cinza","E. L. James"
"Moby Dick","Herman Melville"
"Não Conte a Ninguém","Harlan Coben"
"Harry Potter e a Pedra Filosofal","J.K. Rowling"
"As Crônicas de Nárnia","C.S. Lewis"
"Percy Jackson e Os Olimpianos- ladrão de raios","Rick Riordan"
"Morro dos Ventos Uivantes","Emily Brontë"
"Orgulho e Preconceito","Jane Austen"
"Razão e Sensibilidade","Jane Austen"
1984,"George Orwell"
Macunaíma,"Mário de Andrade"
"Grande Sertão Veredas","João Guimarães Rosa"
"Dom Casmurro","Machado de Assis"
"O Cortiço","Aluísio Azevedo"
"Gabriela Cravo e Canela","Jorge Amado"
"Vidas Secas","Graciliano Ramos"
"A Moreninha","Joaquim Manuel de Macedo"
Iracema,"José de Alencar"
"O Ateneu","Raul Pompeia"
"A Escrava Isaura","Bernardo Guimarães"
"O Guarani","José de Alencar"
"A divina Comédia","Dante Alighieri"
"Dom Quixote","Miguel de Cervantes"
Frankenstein,"Mary Shelley"
"Os Três Mosqueteiros","Alexandre Dumas"
"Os Miseráveis","Victor Hugo"
"O Corvo","Edgar Allan Poe"
"Madame Bovary","Gustave Flaubert"
